State,City,Population,Total law enforcement employees,Total officers,Total civilians,,,,
ALABAMA,Abbeville,"2,939",19,10,9,,,,
,Adamsville,"4,722",29,17,12,,,,
,Addison,715,3,3,0,,,,
,Alabaster,"29,328",88,69,19,,,,
,Albertville,"19,818",58,40,18,,,,
,Alexander City,"14,917",64,46,18,,,,
,Aliceville,"2,405",11,7,4,,,,
,Andalusia,"8,689",40,30,10,,,,
,Anniston,"23,620",119,84,35,,,,
,Arab,"7,753",36,24,12,,,,
,Ardmore,"1,209",11,7,4,,,,
,Argo,"1,900",6,6,0,,,,
,Ariton,743,2,2,0,,,,
,Ashford,"2,041",8,4,4,,,,
,Ashland,"1,862",11,7,4,,,,
,Ashville,"2,543",6,6,0,,,,
,Athens,"23,432",54,43,11,,,,
,Atmore,"7,391",38,33,5,,,,
,Attalla,"6,515",26,20,6,,,,
,Auburn,"55,649",104,98,6,,,,
,Autaugaville,877,1,1,0,,,,
,Baker Hill,311,1,1,0,,,,
,Bay Minette,"7,710",33,23,10,,,,
,Bayou La Batre,"2,716",16,11,5,,,,
,Bear Creek,999,1,1,0,,,,
,Berry,"1,183",3,3,0,,,,
,Bessemer,"28,479",141,105,36,,,,
,Birmingham,"228,314","1,085",789,296,,,,
,Blountsville,"1,976",6,6,0,,,,
,Boaz,"8,273",33,23,10,,,,
,Brent,"4,384",5,5,0,,,,
,Brewton,"5,256",32,25,7,,,,
,Bridgeport,"2,628",11,7,4,,,,
,Brighton,"3,247",11,6,5,,,,
,Brookside,"1,323",1,1,0,,,,
,Brundidge,"2,294",13,8,5,,,,
,Butler,"1,699",6,6,0,,,,
,Calera,"10,723",32,26,6,,,,
,Camden,"2,210",9,8,1,,,,
,Carrollton,929,3,3,0,,,,
,Cedar Bluff,"1,657",4,4,0,,,,
,Centre,"3,491",11,10,1,,,,
,Centreville,"2,533",6,6,0,,,,
,Chatom,"1,156",6,6,0,,,,
,Cherokee,"1,167",4,4,0,,,,
,Chickasaw,"5,935",26,21,5,,,,
,Citronelle,"3,708",14,9,5,,,,
,Clanton,"8,849",25,22,3,,,,
,Clayhatchee,491,1,1,0,,,,
,Clayton,"1,358",4,4,0,,,,
,Clio,"2,212",3,3,0,,,,
,Coffeeville,344,1,1,0,,,,
,Collinsville,"1,690",9,4,5,,,,
,Columbiana,"3,839",12,8,4,,,,
,Coosada,"1,645",3,3,0,,,,
,Cordova,"2,267",5,4,1,,,,
,Cottonwood,"1,176",3,3,0,,,,
,Creola,"2,082",12,7,5,,,,
,Cullman,"15,074",66,49,17,,,,
,Dadeville,"3,220",13,12,1,,,,
,Daleville,"4,512",23,17,6,,,,
,Daphne,"19,245",71,44,27,,,,
